"observation_id","label","revision_count","transfer_score","hint_rate"
"obs-0001","event-001",1,0.31,0.55
"obs-0002","event-002",2,0.45,0.4
"obs-0003","event-003",4,0.62,0.25
"obs-0004","event-004",1,0.28,0.7
"obs-0005","event-005",2,0.39,0.58
"obs-0006","event-006",3,0.51,0.42
"obs-0007","event-007",3,0.52,0.35
"obs-0008","event-008",5,0.69,0.22
"obs-0009","event-009",6,0.78,0.18
"obs-0010","event-010",2,0.36,0.48
"obs-0011","event-011",4,0.57,0.33
"obs-0012","event-012",5,0.71,0.2
"obs-0013","event-013",2,0.34,0.61
"obs-0014","event-014",3,0.47,0.49
"obs-0015","event-015",4,0.63,0.31
"obs-0016","event-016",1,0.43,0.44
"obs-0017","event-017",3,0.6,0.29
"obs-0018","event-018",6,0.82,0.14
