event_id,learner_id,session,attempt_count,revision_count,hint_rate,transfer_score
event-001,learner-a,1,3,1,0.55,0.31
event-002,learner-a,2,4,2,0.40,0.45
event-003,learner-a,3,5,4,0.25,0.62
event-004,learner-b,1,2,1,0.70,0.28
event-005,learner-b,2,3,2,0.58,0.39
event-006,learner-b,3,4,3,0.42,0.51
event-007,learner-c,1,5,3,0.35,0.52
event-008,learner-c,2,6,5,0.22,0.69
event-009,learner-c,3,7,6,0.18,0.78
event-010,learner-d,1,3,2,0.48,0.36
event-011,learner-d,2,5,4,0.33,0.57
event-012,learner-d,3,6,5,0.20,0.71
event-013,learner-e,1,4,2,0.61,0.34
event-014,learner-e,2,4,3,0.49,0.47
event-015,learner-e,3,6,4,0.31,0.63
event-016,learner-f,1,3,1,0.44,0.43
event-017,learner-f,2,5,3,0.29,0.60
event-018,learner-f,3,7,6,0.14,0.82
