"species","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","label"
"Adelie",39.1,18.7,181,3750,"Adelie 1"
"Adelie",35.9,19.2,189,3800,"Adelie 2"
"Adelie",37,16.9,185,3000,"Adelie 3"
"Adelie",41.6,18,192,3950,"Adelie 4"
"Adelie",36.9,18.6,189,3500,"Adelie 5"
"Adelie",38.1,17,181,3175,"Adelie 6"
"Adelie",38.5,17.9,190,3325,"Adelie 7"
"Adelie",41.5,18.5,201,4000,"Adelie 8"
"Chinstrap",46.5,17.9,192,3500,"Chinstrap 9"
"Chinstrap",46.6,17.8,193,3800,"Chinstrap 10"
"Chinstrap",49.2,18.2,195,4400,"Chinstrap 11"
"Chinstrap",52.8,20,205,4550,"Chinstrap 12"
"Chinstrap",46.9,16.6,192,2700,"Chinstrap 13"
"Chinstrap",51.5,18.7,187,3250,"Chinstrap 14"
"Chinstrap",49.3,19.9,203,4050,"Chinstrap 15"
"Chinstrap",50.2,18.7,198,3775,"Chinstrap 16"
"Gentoo",46.1,13.2,211,4500,"Gentoo 17"
"Gentoo",49.2,15.2,221,6300,"Gentoo 18"
"Gentoo",48.4,16.3,220,5400,"Gentoo 19"
"Gentoo",45.1,14.4,210,4400,"Gentoo 20"
"Gentoo",47.7,15,216,4750,"Gentoo 21"
"Gentoo",51.3,14.2,218,5300,"Gentoo 22"
"Gentoo",46.8,16.1,215,5500,"Gentoo 23"
"Gentoo",49.9,16.1,213,5400,"Gentoo 24"
