"observation_id","label","age","hours"
"src-c19f20d61ba8-00000001","src-c19f20d61ba8-00000001",46,49.8
"src-c19f20d61ba8-00000002","src-c19f20d61ba8-00000002",50,40
"src-c19f20d61ba8-00000003","src-c19f20d61ba8-00000003",55,38.9
"src-c19f20d61ba8-00000004","src-c19f20d61ba8-00000004",62,30.1
"src-c19f20d61ba8-00000005","src-c19f20d61ba8-00000005",64,28
"src-c19f20d61ba8-00000006","src-c19f20d61ba8-00000006",44,32.2
"src-c19f20d61ba8-00000007","src-c19f20d61ba8-00000007",61,49.3
"src-c19f20d61ba8-00000008","src-c19f20d61ba8-00000008",53,39.6
"src-c19f20d61ba8-00000009","src-c19f20d61ba8-00000009",65,43
"src-c19f20d61ba8-00000010","src-c19f20d61ba8-00000010",22,33
"src-c19f20d61ba8-00000011","src-c19f20d61ba8-00000011",48,39.3
"src-c19f20d61ba8-00000012","src-c19f20d61ba8-00000012",61,45
"src-c19f20d61ba8-00000013","src-c19f20d61ba8-00000013",51,23.5
"src-c19f20d61ba8-00000014","src-c19f20d61ba8-00000014",41,42.6
"src-c19f20d61ba8-00000015","src-c19f20d61ba8-00000015",36,45.6
"src-c19f20d61ba8-00000016","src-c19f20d61ba8-00000016",32,23
"src-c19f20d61ba8-00000017","src-c19f20d61ba8-00000017",46,37.1
"src-c19f20d61ba8-00000018","src-c19f20d61ba8-00000018",63,30.7
"src-c19f20d61ba8-00000019","src-c19f20d61ba8-00000019",66,28.1
"src-c19f20d61ba8-00000020","src-c19f20d61ba8-00000020",61,38
"src-c19f20d61ba8-00000021","src-c19f20d61ba8-00000021",27,44.4
"src-c19f20d61ba8-00000022","src-c19f20d61ba8-00000022",35,38.8
"src-c19f20d61ba8-00000023","src-c19f20d61ba8-00000023",51,42.4
"src-c19f20d61ba8-00000024","src-c19f20d61ba8-00000024",46,32.8
"src-c19f20d61ba8-00000025","src-c19f20d61ba8-00000025",54,34.3
"src-c19f20d61ba8-00000026","src-c19f20d61ba8-00000026",29,36.8
"src-c19f20d61ba8-00000027","src-c19f20d61ba8-00000027",54,26
"src-c19f20d61ba8-00000028","src-c19f20d61ba8-00000028",65,37.5
"src-c19f20d61ba8-00000029","src-c19f20d61ba8-00000029",52,34.7
"src-c19f20d61ba8-00000030","src-c19f20d61ba8-00000030",29,36.2
"src-c19f20d61ba8-00000031","src-c19f20d61ba8-00000031",20,45.1
"src-c19f20d61ba8-00000032","src-c19f20d61ba8-00000032",52,36
"src-c19f20d61ba8-00000033","src-c19f20d61ba8-00000033",59,35.4
"src-c19f20d61ba8-00000034","src-c19f20d61ba8-00000034",53,38.2
"src-c19f20d61ba8-00000035","src-c19f20d61ba8-00000035",25,36.7
