"observation_id","label","wt","mpg","standardized_product"
"obs-0001","observation-0001",2.62,21,-0.092100031704457
"obs-0002","observation-0002",2.875,21,-0.0527772889926336
"obs-0003","observation-0003",2.32,22.8,-0.412233419428949
"obs-0004","observation-0004",3.215,21.4,-0.000499582449856113
"obs-0005","observation-0005",3.44,18.7,-0.0525276964878526
"obs-0006","observation-0006",3.46,18.1,-0.08194251762454
"obs-0007","observation-0007",3.57,14.3,-0.346380212275815
"obs-0008","observation-0008",3.19,24.4,-0.01991321602236
"obs-0009","observation-0009",3.15,22.8,-0.0308974059142901
"obs-0010","observation-0010",3.44,19.2,-0.0336413337057034
"obs-0011","observation-0011",3.44,17.8,-0.0865231494957212
"obs-0012","observation-0012",4.07,16.4,-0.533681634780759
"obs-0013","observation-0013",3.73,17.3,-0.242642996275996
"obs-0014","observation-0014",3.78,15.2,-0.466702876714346
"obs-0015","observation-0015",5.25,10.4,-3.3403837958678
"obs-0016","observation-0016",5.424,10.4,-3.62631506163142
"obs-0017","observation-0017",5.345,14.7,-1.94500324794511
"obs-0018","observation-0018",2.2,32.4,-2.1233633236705
"obs-0019","observation-0019",1.615,30.4,-2.80106526539388
"obs-0020","observation-0020",1.835,33.9,-3.23684000081118
"obs-0021","observation-0021",2.465,21.5,-0.179783309419057
"obs-0022","observation-0022",3.52,15.5,-0.235676662798607
"obs-0023","observation-0023",3.435,15.2,-0.180585608893023
"obs-0024","observation-0024",3.84,13.3,-0.717107219536303
"obs-0025","observation-0025",3.845,19.2,-0.0948073949888004
"obs-0026","observation-0026",1.935,27.3,-1.56758440597045
"obs-0027","observation-0027",2.14,26,-1.07949010029938
"obs-0028","observation-0028",1.513,30.4,-2.97938241756749
"obs-0029","observation-0029",3.17,15.8,0.034378188011219
"obs-0030","observation-0030",2.77,19.7,0.0296258619329274
"obs-0031","observation-0031",3.57,15,-0.304508022556558
"obs-0032","observation-0032",2.78,21.4,-0.0970855227553677
