"observation_id","label","bootstrap_mean","deviation","percentile"
"obs-0001","resample-0001",18.165625,-1.925,0.0625
"obs-0002","resample-0002",20.534375,0.443750000000001,0.6175
"obs-0003","resample-0003",18.840625,-1.25,0.1325
"obs-0004","resample-0004",20.6375,0.546875,0.6475
"obs-0005","resample-0005",22.375,2.284375,0.9925
"obs-0006","resample-0006",19.921875,-0.168749999999999,0.395
"obs-0007","resample-0007",18.46875,-1.621875,0.1075
"obs-0008","resample-0008",20.240625,0.149999999999999,0.5175
"obs-0009","resample-0009",19.053125,-1.0375,0.1675
"obs-0010","resample-0010",19.903125,-0.1875,0.3875
"obs-0011","resample-0011",22.0125,1.921875,0.9625
"obs-0012","resample-0012",20.696875,0.606249999999999,0.6725
"obs-0013","resample-0013",20.53125,0.440625000000001,0.6125
"obs-0014","resample-0014",20.36875,0.278124999999999,0.5475
"obs-0015","resample-0015",19.921875,-0.168749999999999,0.395
"obs-0016","resample-0016",20.18125,0.0906249999999993,0.4975
"obs-0017","resample-0017",21.053125,0.962499999999999,0.7925
"obs-0018","resample-0018",19.96875,-0.121874999999999,0.4075
"obs-0019","resample-0019",19.88125,-0.209374999999998,0.3775
"obs-0020","resample-0020",20.225,0.134375000000002,0.5025
"obs-0021","resample-0021",20.690625,0.600000000000001,0.665
"obs-0022","resample-0022",19.178125,-0.912500000000001,0.2075
"obs-0023","resample-0023",20.753125,0.662500000000001,0.6925
"obs-0024","resample-0024",19.5625,-0.528124999999999,0.2575
"obs-0025","resample-0025",18.1,-1.990625,0.0475
"obs-0026","resample-0026",20.1125,0.0218750000000014,0.4625
"obs-0027","resample-0027",20.06875,-0.0218749999999979,0.4525
"obs-0028","resample-0028",22.475,2.384375,0.9975
"obs-0029","resample-0029",17.896875,-2.19375,0.0375
"obs-0030","resample-0030",19.303125,-0.787499999999998,0.2375
"obs-0031","resample-0031",20.4875,0.396875000000001,0.5975
"obs-0032","resample-0032",21.265625,1.175,0.8425
"obs-0033","resample-0033",21.13125,1.040625,0.8025
"obs-0034","resample-0034",19.221875,-0.868749999999999,0.2175
"obs-0035","resample-0035",20.15625,0.0656250000000007,0.49
"obs-0036","resample-0036",19.984375,-0.106249999999999,0.4125
"obs-0037","resample-0037",19.8875,-0.203125,0.3825
"obs-0038","resample-0038",19.60625,-0.484375,0.2775
"obs-0039","resample-0039",18.79375,-1.296875,0.1275
"obs-0040","resample-0040",20.403125,0.3125,0.5725
"obs-0041","resample-0041",21.41875,1.328125,0.8925
"obs-0042","resample-0042",19.2,-0.890625,0.2125
"obs-0043","resample-0043",21.7625,1.671875,0.9375
"obs-0044","resample-0044",20.625,0.534375000000001,0.6375
"obs-0045","resample-0045",21.25,1.159375,0.8375
"obs-0046","resample-0046",19.24375,-0.846875000000001,0.2225
"obs-0047","resample-0047",20.78125,0.690625000000001,0.7225
"obs-0048","resample-0048",19.65625,-0.434374999999999,0.3225
"obs-0049","resample-0049",18.1625,-1.928125,0.0575
"obs-0050","resample-0050",19.15625,-0.934374999999999,0.1975
"obs-0051","resample-0051",20.034375,-0.0562499999999986,0.4325
"obs-0052","resample-0052",18.56875,-1.521875,0.1125
"obs-0053","resample-0053",20.775,0.684374999999999,0.715
"obs-0054","resample-0054",21.39375,1.303125,0.8825
"obs-0055","resample-0055",19.028125,-1.0625,0.1575
"obs-0056","resample-0056",20.15625,0.0656250000000007,0.49
"obs-0057","resample-0057",20.284375,0.193750000000001,0.5325
"obs-0058","resample-0058",20.10625,0.015625,0.4575
"obs-0059","resample-0059",21.375,1.284375,0.8725
"obs-0060","resample-0060",16.90625,-3.184375,0.0025
"obs-0061","resample-0061",21.2375,1.146875,0.83
"obs-0062","resample-0062",18.29375,-1.796875,0.0775
"obs-0063","resample-0063",19.009375,-1.08125,0.1525
"obs-0064","resample-0064",19.0875,-1.003125,0.1775
"obs-0065","resample-0065",20.928125,0.837499999999999,0.7675
"obs-0066","resample-0066",20.7625,0.671875,0.7075
"obs-0067","resample-0067",20.60625,0.515625,0.6325
"obs-0068","resample-0068",19.871875,-0.21875,0.3725
"obs-0069","resample-0069",20.39375,0.303125000000001,0.5625
"obs-0070","resample-0070",21.06875,0.978125000000002,0.7975
"obs-0071","resample-0071",19.115625,-0.974999999999998,0.1875
"obs-0072","resample-0072",20.371875,0.28125,0.5525
"obs-0073","resample-0073",18.45,-1.640625,0.1025
"obs-0074","resample-0074",17.8375,-2.253125,0.0225
"obs-0075","resample-0075",20.496875,0.40625,0.6025
"obs-0076","resample-0076",19.646875,-0.443750000000001,0.3125
"obs-0077","resample-0077",19.728125,-0.362500000000001,0.3425
"obs-0078","resample-0078",18.890625,-1.2,0.14
"obs-0079","resample-0079",20.128125,0.0375000000000014,0.4725
"obs-0080","resample-0080",20.45,0.359375,0.5875
"obs-0081","resample-0081",21.596875,1.50625,0.9275
"obs-0082","resample-0082",20.2375,0.146875000000001,0.51
"obs-0083","resample-0083",17.84375,-2.246875,0.0275
"obs-0084","resample-0084",19.8125,-0.278124999999999,0.36
"obs-0085","resample-0085",20.059375,-0.03125,0.4425
"obs-0086","resample-0086",18.93125,-1.159375,0.1475
"obs-0087","resample-0087",20.11875,0.0281249999999993,0.4675
"obs-0088","resample-0088",17.68125,-2.409375,0.0125
"obs-0089","resample-0089",20.7125,0.621874999999999,0.6775
"obs-0090","resample-0090",17.54375,-2.546875,0.0075
"obs-0091","resample-0091",22.353125,2.2625,0.9775
"obs-0092","resample-0092",18.146875,-1.94375,0.0525
"obs-0093","resample-0093",19.609375,-0.481249999999999,0.2875
"obs-0094","resample-0094",20.140625,0.0500000000000007,0.4775
"obs-0095","resample-0095",19.2625,-0.828125,0.2325
