"observation_id","label","mpg","centered_value","percentile"
"obs-0001","observation-0001",21,0.909375000000001,0.59375
"obs-0002","observation-0002",21,0.909375000000001,0.59375
"obs-0003","observation-0003",22.8,2.709375,0.75
"obs-0004","observation-0004",21.4,1.309375,0.65625
"obs-0005","observation-0005",18.7,-1.390625,0.453125
"obs-0006","observation-0006",18.1,-1.990625,0.421875
"obs-0007","observation-0007",14.3,-5.790625,0.109375
"obs-0008","observation-0008",24.4,4.309375,0.796875
"obs-0009","observation-0009",22.8,2.709375,0.75
"obs-0010","observation-0010",19.2,-0.890625,0.5
"obs-0011","observation-0011",17.8,-2.290625,0.390625
"obs-0012","observation-0012",16.4,-3.690625,0.328125
"obs-0013","observation-0013",17.3,-2.790625,0.359375
"obs-0014","observation-0014",15.2,-4.890625,0.21875
"obs-0015","observation-0015",10.4,-9.690625,0.03125
"obs-0016","observation-0016",10.4,-9.690625,0.03125
"obs-0017","observation-0017",14.7,-5.390625,0.140625
"obs-0018","observation-0018",32.4,12.309375,0.953125
"obs-0019","observation-0019",30.4,10.309375,0.90625
"obs-0020","observation-0020",33.9,13.809375,0.984375
"obs-0021","observation-0021",21.5,1.409375,0.703125
"obs-0022","observation-0022",15.5,-4.590625,0.265625
"obs-0023","observation-0023",15.2,-4.890625,0.21875
"obs-0024","observation-0024",13.3,-6.790625,0.078125
"obs-0025","observation-0025",19.2,-0.890625,0.5
"obs-0026","observation-0026",27.3,7.209375,0.859375
"obs-0027","observation-0027",26,5.909375,0.828125
"obs-0028","observation-0028",30.4,10.309375,0.90625
"obs-0029","observation-0029",15.8,-4.290625,0.296875
"obs-0030","observation-0030",19.7,-0.390625,0.546875
"obs-0031","observation-0031",15,-5.090625,0.171875
"obs-0032","observation-0032",21.4,1.309375,0.65625
