"age","hours","education","group","outcome"
46,49.8,"secondary","A","event"
50,40,"graduate","B","event"
55,38.9,"college","C","reference"
62,30.1,"graduate","A","event"
64,28,"graduate","B","event"
44,32.2,"college","C","reference"
61,49.3,"secondary","A","reference"
53,39.6,"secondary","B","reference"
65,43,"college","C","event"
22,33,"secondary","A","reference"
48,39.3,"secondary","B","event"
61,45,"graduate","C","reference"
51,23.5,"college","A","reference"
41,42.6,"college","B","event"
36,45.6,"secondary","C","event"
32,23,"secondary","A","reference"
46,37.1,"secondary","B","reference"
63,30.7,"graduate","C","event"
66,28.1,"college","A","reference"
61,38,"secondary","B","event"
27,44.4,"secondary","C","reference"
35,38.8,"secondary","A","event"
51,42.4,"college","B","reference"
46,32.8,"college","C","reference"
54,34.3,"secondary","A","reference"
29,36.8,"secondary","B","reference"
54,26,"secondary","C","reference"
65,37.5,"secondary","A","event"
52,34.7,"college","B","reference"
29,36.2,"secondary","C","reference"
20,45.1,"secondary","A","reference"
52,36,"graduate","B","reference"
59,35.4,"college","C","event"
53,38.2,"college","A","reference"
25,36.7,"college","B","reference"
67,33.9,"secondary","C","reference"
19,34.7,"graduate","A","reference"
62,32.4,"graduate","B","event"
46,41.8,"college","C","event"
58,40.1,"college","A","reference"
61,22.9,"secondary","B","reference"
22,39.5,"secondary","C","reference"
26,43.4,"graduate","A","reference"
62,38.2,"college","B","event"
35,43.5,"college","C","event"
58,46.7,"secondary","A","reference"
65,47.4,"college","B","event"
24,23.9,"college","C","reference"
44,37.7,"college","A","reference"
67,31.8,"graduate","B","event"
54,39.5,"secondary","C","reference"
22,36.7,"college","A","event"
60,35.9,"secondary","B","reference"
46,48.7,"graduate","C","event"
21,24.5,"college","A","reference"
48,45.6,"secondary","B","reference"
34,39.3,"college","C","reference"
25,37.7,"secondary","A","reference"
26,48.1,"college","B","event"
20,40.5,"graduate","C","event"
46,43.8,"college","A","reference"
64,41.1,"secondary","B","reference"
40,43.8,"college","C","event"
69,35.6,"secondary","A","reference"
58,49.1,"secondary","B","event"
55,50,"college","C","event"
53,43.1,"college","A","reference"
42,31.5,"secondary","B","reference"
48,26.8,"college","C","reference"
32,42.3,"secondary","A","event"
18,40.8,"college","B","reference"
41,39.3,"secondary","C","event"
61,38.3,"secondary","A","event"
23,34.8,"college","B","reference"
62,45.7,"secondary","C","event"
21,40.7,"secondary","A","reference"
46,59.6,"college","B","reference"
25,45.3,"college","C","reference"
55,44.2,"secondary","A","event"
33,34,"secondary","B","event"
23,37.7,"college","C","reference"
66,33.4,"college","A","reference"
68,27.2,"graduate","B","event"
40,31.3,"secondary","C","event"
18,36.7,"secondary","A","reference"
34,30.8,"college","B","reference"
37,44.9,"secondary","C","event"
55,46.7,"secondary","A","event"
54,33.5,"secondary","B","event"
66,34.6,"graduate","C","reference"
52,25.6,"graduate","A","event"
37,29.2,"college","B","reference"
32,24.7,"college","C","reference"
66,36.2,"secondary","A","event"
57,49.5,"college","B","reference"
38,35.2,"graduate","C","event"
70,46.1,"secondary","A","event"
53,36.8,"college","B","event"
38,36.7,"secondary","C","reference"
62,41,"college","A","event"
50,24.5,"secondary","B","reference"
43,44,"graduate","C","reference"
61,26.6,"college","A","reference"
20,28.2,"college","B","event"
47,38.9,"graduate","C","event"
38,41.5,"graduate","A","event"
36,42.3,"college","B","event"
62,31.2,"secondary","C","event"
50,25.6,"college","A","reference"
44,44.5,"college","B","reference"
55,39.3,"college","C","event"
67,34.4,"college","A","reference"
69,36.8,"graduate","B","event"
35,26.9,"college","C","reference"
50,55.3,"secondary","A","reference"
37,51.3,"college","B","event"
59,41.4,"graduate","C","event"
45,43.2,"college","A","event"
38,31.5,"college","B","reference"
51,41.5,"secondary","C","reference"
21,47.7,"graduate","A","reference"
54,39.4,"secondary","B","event"
32,41.9,"college","C","reference"
50,41.2,"college","A","reference"
34,41,"college","B","reference"
26,20.1,"secondary","C","reference"
41,39.2,"secondary","A","reference"
42,42.7,"college","B","reference"
30,35.9,"secondary","C","reference"
61,49.1,"secondary","A","event"
68,52.4,"graduate","B","event"
38,38.1,"graduate","C","reference"
35,48.3,"secondary","A","reference"
61,44.5,"college","B","event"
45,41.8,"college","C","event"
58,39.7,"college","A","reference"
52,42.4,"secondary","B","event"
51,39.1,"secondary","C","reference"
66,50.7,"college","A","event"
51,39.1,"secondary","B","reference"
59,35.8,"college","C","event"
30,42.8,"graduate","A","reference"
27,18.7,"college","B","reference"
46,24.4,"secondary","C","reference"
41,39.8,"graduate","A","reference"
31,55.1,"secondary","B","reference"
47,36,"college","C","reference"
70,31.6,"secondary","A","event"
55,37.2,"college","B","reference"
36,50,"graduate","C","event"
61,45.1,"secondary","A","event"
49,46.6,"college","B","reference"
61,38.6,"secondary","C","event"
38,45,"graduate","A","reference"
19,49.4,"college","B","event"
70,58.8,"secondary","C","event"
21,30.8,"college","A","reference"
48,36.7,"secondary","B","reference"
70,38,"college","C","reference"
51,35,"college","A","reference"
23,30.1,"college","B","reference"
64,36.6,"college","C","reference"
40,35,"college","A","reference"
34,43.4,"secondary","B","reference"
46,31,"secondary","C","reference"
61,35.5,"college","A","reference"
21,38.8,"secondary","B","reference"
53,32.5,"college","C","event"
41,38.7,"secondary","A","event"
52,42.5,"college","B","reference"
28,37.8,"secondary","C","reference"
39,43.7,"graduate","A","reference"
65,29.6,"college","B","reference"
23,50,"secondary","C","event"
39,35.7,"college","A","event"
55,42.9,"graduate","B","reference"
